latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
52.54123,39.63041,311.79,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,281.64,2.02,N
-1.80657,9.79951,321.12,0.36,0.58,2026-09-18,0132,N,nominal,2.0NRT,286.73,2.58,N
-3.28371,14.3903,296.4,0.78,0.78,2026-09-18,0132,N,nominal,2.0NRT,284.56,0.63,N
52.53786,39.63888,296.62,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,278.88,2.02,N
52.55575,39.57334,319.72,0.65,0.73,2026-09-18,0115,N,nominal,2.0NRT,281.22,2.94,N
52.53888,39.61572,295.03,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,279.51,1.56,N
52.53552,39.62412,305.85,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,279.36,2.36,N
52.53216,39.63257,307.86,0.66,0.73,2026-09-18,0115,N,nominal,2.0NRT,280.08,2.36,N
51.2586,37.76547,310.35,0.63,0.72,2026-09-18,0115,N,nominal,2.0NRT,283.33,2.14,N
51.25752,37.75893,296.05,0.63,0.72,2026-09-18,0115,N,nominal,2.0NRT,280.84,1.59,N
51.14289,37.93106,307.74,0.65,0.73,2026-09-18,0115,N,nominal,2.0NRT,279.44,2.01,N
48.99654,37.77047,298.69,0.77,0.77,2026-09-18,0115,N,nominal,2.0NRT,278.57,0.98,N
48.54455,37.0169,324.18,0.75,0.77,2026-09-18,0115,N,nominal,2.0NRT,280.6,2.99,N
48.54887,37.01471,296.17,0.75,0.77,2026-09-18,0115,N,nominal,2.0NRT,280.13,2.17,N
48.54535,37.02375,310.17,0.75,0.77,2026-09-18,0115,N,nominal,2.0NRT,279.96,2.17,N
53.52164,18.83931,301.25,0.39,0.36,2026-09-18,0115,N,nominal,2.0NRT,279.31,0.63,N
50.5438,26.26198,297.76,0.49,0.49,2026-09-18,0117,N,nominal,2.0NRT,280.79,1.3,N
53.63151,-0.2439,296.25,0.44,0.62,2026-09-18,0117,N,nominal,2.0NRT,279.95,0.96,N
53.13497,8.67866,326.93,0.57,0.43,2026-09-18,0117,N,nominal,2.0NRT,284.88,4.41,N
53.13418,8.68066,330.74,0.57,0.43,2026-09-18,0117,N,nominal,2.0NRT,284.8,5.65,N
51.68923,15.98162,315.35,0.38,0.36,2026-09-18,0117,N,nominal,2.0NRT,277.51,3.32,N
51.68598,15.98028,335.58,0.38,0.36,2026-09-18,0117,N,nominal,2.0NRT,278.34,3.32,N
51.68013,15.99534,306.05,0.38,0.36,2026-09-18,0117,N,nominal,2.0NRT,276.4,0.41,N
51.10571,18.9439,298.77,0.41,0.37,2026-09-18,0117,N,nominal,2.0NRT,282.97,0.37,N
51.10238,18.94234,295.11,0.41,0.37,2026-09-18,0117,N,nominal,2.0NRT,280.93,0.37,N
27.64629,22.50435,338.55,0.66,0.73,2026-09-18,0124,N,nominal,2.0NRT,290.94,5.14,N
27.64506,22.48244,333.17,0.66,0.73,2026-09-18,0124,N,nominal,2.0NRT,290.97,5.24,N
27.63974,22.50208,325.69,0.66,0.73,2026-09-18,0124,N,nominal,2.0NRT,290.71,3.09,N
30.66345,8.10164,320.42,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,294.25,2.14,N
27.58099,22.40271,341.74,0.65,0.73,2026-09-18,0124,N,nominal,2.0NRT,290.9,6.92,N
28.2079,19.91502,311.45,0.45,0.63,2026-09-18,0124,N,nominal,2.0NRT,290.18,0.88,N
27.58537,22.40102,323.09,0.65,0.73,2026-09-18,0124,N,nominal,2.0NRT,290.27,4.57,N
27.5836,22.40759,320.48,0.65,0.73,2026-09-18,0124,N,nominal,2.0NRT,290.13,4.57,N
28.20797,19.91532,309.38,0.45,0.63,2026-09-18,0124,N,nominal,2.0NRT,289.95,1,N
30.89664,5.58524,303.98,0.44,0.38,2026-09-18,0124,N,nominal,2.0NRT,253.67,1.3,N
30.87815,5.64283,316.07,0.44,0.38,2026-09-18,0124,N,nominal,2.0NRT,293.13,1.48,N
28.05591,19.91374,322.02,0.46,0.63,2026-09-18,0124,N,nominal,2.0NRT,290.8,1.47,N
28.05709,19.90902,300.42,0.46,0.63,2026-09-18,0124,N,nominal,2.0NRT,289.47,1.47,N
27.59467,21.61823,305.24,0.59,0.7,2026-09-18,0124,N,nominal,2.0NRT,291.48,1.06,N
27.98408,19.90526,367,0.46,0.63,2026-09-18,0124,N,high,2.0NRT,291.83,6.45,N
27.98496,19.90386,342.95,0.46,0.63,2026-09-18,0124,N,nominal,2.0NRT,292.11,6.17,N
27.98383,19.90838,311,0.46,0.63,2026-09-18,0124,N,nominal,2.0NRT,289.85,3.25,N
30.38834,7.90799,310.06,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,293.78,1.13,N
28.58276,17.33133,336.87,0.63,0.54,2026-09-18,0124,N,nominal,2.0NRT,289.67,7.18,N
30.25956,8.08423,305.75,0.38,0.36,2026-09-18,0124,N,nominal,2.0NRT,295.31,1.95,N
30.25296,8.08286,307.03,0.38,0.36,2026-09-18,0124,N,nominal,2.0NRT,292.96,0.62,N
30.25234,8.08684,307.67,0.38,0.36,2026-09-18,0124,N,nominal,2.0NRT,292.9,0.62,N
28.13098,18.78841,310.84,0.39,0.59,2026-09-18,0124,N,nominal,2.0NRT,290.33,1.62,N
28.13002,18.79236,314.43,0.39,0.59,2026-09-18,0124,N,nominal,2.0NRT,290.21,1.26,N
30.37722,7.01059,330.21,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,293.47,3.04,N
28.23491,18.09757,304.92,0.35,0.57,2026-09-18,0124,N,nominal,2.0NRT,289.72,0.5,N
29.70179,6.71154,307.56,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.81,0.73,N
29.70119,6.71565,313.83,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.37,0.73,N
29.69903,6.70678,309.57,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.62,0.8,N
29.69842,6.71089,309.88,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,295.03,0.73,N
29.69626,6.70202,325.91,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,295.75,0.95,N
29.69686,6.6979,305.71,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.47,1.21,N
29.69566,6.70613,309.42,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.67,0.95,N
29.6929,6.70138,312.65,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.63,0.95,N
29.69229,6.70549,305.72,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.18,0.95,N
29.68616,6.70009,304.89,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.35,1.24,N
29.6685,6.72628,323.29,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,296.28,1.57,N
29.6691,6.72217,310.99,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.92,1.57,N
29.10897,9.66697,307.73,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,291.51,0.63,N
28.97417,10.04196,319.23,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,290.98,1.57,N
28.92127,9.98291,304.57,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,290.99,0.48,N
28.88638,10.02227,304.24,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,292.87,0.72,N
28.89236,9.96789,306.47,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,291.25,0.48,N
28.89207,9.96867,309.46,0.41,0.37,2026-09-18,0124,N,nominal,2.0NRT,291.14,0.62,N
28.92307,9.74589,318.25,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,291.95,1.06,N
28.91971,9.74515,311.14,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,291.48,1.06,N
28.91231,9.74774,320.43,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,291.05,1.56,N
28.86596,9.9372,316.36,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,291.02,1.05,N
28.82163,9.91021,322.36,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,291.35,1.36,N
28.92588,9.03656,325.87,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,294.77,1.76,N
28.73659,9.79069,329.68,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.1,2.13,N
29.25943,6.49312,312.28,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,295.83,0.74,N
29.25605,6.49248,306.71,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,294.3,0.74,N
28.63629,9.78285,319.86,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,292.91,1.84,N
28.63559,9.78694,304.66,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,292.84,0.84,N
28.63222,9.7862,315.64,0.4,0.37,2026-09-18,0124,N,nominal,2.0NRT,292.34,0.84,N
28.73284,9.15267,314.96,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,292.63,0.97,N
28.52715,9.12343,328.52,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,293.59,3.26,N
28.6597,7.91037,310.92,0.38,0.36,2026-09-18,0124,N,nominal,2.0NRT,293.95,0.98,N
28.4505,9.13651,331.21,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,295.89,8.06,N
28.44717,9.13579,329.3,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,291.88,3.57,N
28.63724,7.53598,305.25,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,293,0.81,N
28.68333,7.19226,329.16,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,296.28,3.92,N
28.68273,7.19622,304.18,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,293.17,1.65,N
28.61173,7.50262,326.79,0.39,0.36,2026-09-18,0124,N,nominal,2.0NRT,294.18,1.83,N
28.57749,7.65731,324.2,0.38,0.36,2026-09-18,0124,N,nominal,2.0NRT,294.69,1.25,N
28.5781,7.6534,308.2,0.38,0.36,2026-09-18,0124,N,nominal,2.0NRT,293.66,1.25,N
28.57418,7.65665,314.76,0.38,0.36,2026-09-18,0124,N,nominal,2.0NRT,293.06,1.25,N
